axis,model,puzzle_index,rating_bucket,iteration,coordinate,correct_fraction,first_solve_progress,stable_solved_duration,remaining_incorrect_fraction
stable_plain,stable_plain,12,1-2,256,0.7528882622718811,1.0,1.0,0.7980747222900391,0.0
stable_plain,stable_plain,12,1-2,384,0.7895792722702026,1.0,1.0,0.8571234345436096,0.0
stable_plain,stable_plain,12,1-2,512,0.8190054893493652,1.0,1.0,0.8988991379737854,0.0
stable_plain,stable_plain,12,1-2,768,0.8626001477241516,1.0,1.0,0.9576619863510132,0.0
stable_plain,stable_plain,12,1-2,1024,0.8909856081008911,1.0,1.0,0.9992954134941101,0.0
stable_plain,stable_plain,13,1-2,0,-2.479871988296509,0.09090909361839294,0.0,0.0,0.9090908765792847
stable_plain,stable_plain,13,1-2,1,-1.5308793783187866,0.4909090995788574,0.0555555559694767,0.0,0.5090909004211426
stable_plain,stable_plain,13,1-2,2,-1.0538654327392578,0.5454545617103577,0.1111111119389534,0.0,0.45454543828964233
stable_plain,stable_plain,13,1-2,4,-0.7993305325508118,0.6727272868156433,0.2222222238779068,0.0,0.3272727131843567
stable_plain,stable_plain,13,1-2,8,-0.47196832299232483,0.5636363625526428,0.4444444477558136,0.0,0.4363636374473572
stable_plain,stable_plain,13,1-2,12,-0.3181396424770355,0.5090909004211426,0.6666666865348816,0.0,0.4909090995788574
stable_plain,stable_plain,13,1-2,16,-0.012819296680390835,0.6909090876579285,0.8888888955116272,0.0,0.30909091234207153
stable_plain,stable_plain,13,1-2,24,0.29584652185440063,1.0,1.0,0.2999155819416046,0.0
stable_plain,stable_plain,13,1-2,32,0.3936282694339752,1.0,1.0,0.39988744258880615,0.0
stable_plain,stable_plain,13,1-2,48,0.4713102877140045,1.0,1.0,0.4998593032360077,0.0
stable_plain,stable_plain,13,1-2,64,0.5097315311431885,1.0,1.0,0.5583390593528748,0.0
stable_plain,stable_plain,13,1-2,96,0.5639817118644714,1.0,1.0,0.6320148706436157,0.0
stable_plain,stable_plain,13,1-2,128,0.6023868918418884,1.0,1.0,0.6805438995361328,0.0
stable_plain,stable_plain,13,1-2,192,0.6561315655708313,1.0,1.0,0.7457332611083984,0.0
stable_plain,stable_plain,13,1-2,256,0.6915555596351624,1.0,1.0,0.7904665470123291,0.0
stable_plain,stable_plain,13,1-2,384,0.7409862279891968,1.0,1.0,0.8521163463592529,0.0
stable_plain,stable_plain,13,1-2,512,0.7794057726860046,1.0,1.0,0.8951676487922668,0.0
stable_plain,stable_plain,13,1-2,768,0.8347765803337097,1.0,1.0,0.9551900029182434,0.0
stable_plain,stable_plain,13,1-2,1024,0.8709383606910706,1.0,1.0,0.9974471926689148,0.0
stable_plain,stable_plain,20,1-2,0,-2.479872226715088,0.1071428582072258,0.0,0.0,0.8928571343421936
stable_plain,stable_plain,20,1-2,1,-1.7038829326629639,0.5714285969734192,0.1666666716337204,0.0,0.4285714030265808
stable_plain,stable_plain,20,1-2,2,-1.3708819150924683,0.6607142686843872,0.3333333432674408,0.0,0.3392857313156128
stable_plain,stable_plain,20,1-2,4,-0.9591619968414307,0.9285714030265808,0.6666666865348816,0.0,0.07142859697341919
stable_plain,stable_plain,20,1-2,8,0.1417856514453888,1.0,1.0,0.19994372129440308,0.0
stable_plain,stable_plain,20,1-2,12,0.23987232148647308,1.0,1.0,0.2999155819416046,0.0
stable_plain,stable_plain,20,1-2,16,0.31731703877449036,1.0,1.0,0.35839536786079407,0.0
stable_plain,stable_plain,20,1-2,24,0.38659313321113586,1.0,1.0,0.43207117915153503,0.0
stable_plain,stable_plain,20,1-2,32,0.42882388830184937,1.0,1.0,0.4806002080440521,0.0
stable_plain,stable_plain,20,1-2,48,0.49615049362182617,1.0,1.0,0.5457895398139954,0.0
stable_plain,stable_plain,20,1-2,64,0.5499406456947327,1.0,1.0,0.590522825717926,0.0
stable_plain,stable_plain,20,1-2,96,0.6300679445266724,1.0,1.0,0.6521726250648499,0.0
stable_plain,stable_plain,20,1-2,128,0.6848264336585999,1.0,1.0,0.6952239274978638,0.0
stable_plain,stable_plain,20,1-2,192,0.7504816651344299,1.0,1.0,0.7552462816238403,0.0
stable_plain,stable_plain,20,1-2,256,0.7910121083259583,1.0,1.0,0.7975034713745117,0.0
stable_plain,stable_plain,20,1-2,384,0.8472712635993958,1.0,1.0,0.8567444086074829,0.0
stable_plain,stable_plain,20,1-2,512,0.8856322169303894,1.0,1.0,0.8986155390739441,0.0
stable_plain,stable_plain,20,1-2,768,0.9319490790367126,1.0,1.0,0.9574733972549438,0.0
stable_plain,stable_plain,20,1-2,1024,0.9575007557868958,1.0,1.0,0.9991540908813477,0.0
stable_plain,stable_plain,22,1-2,0,-2.479871988296509,0.109375,0.0,0.0,0.890625
stable_plain,stable_plain,22,1-2,1,-1.9318362474441528,0.296875,0.1428571492433548,0.0,0.703125
stable_plain,stable_plain,22,1-2,2,-1.6996291875839233,0.5625,0.2857142984867096,0.0,0.4375
stable_plain,stable_plain,22,1-2,4,-0.9838637113571167,0.859375,0.5714285969734192,0.0,0.140625
stable_plain,stable_plain,22,1-2,8,0.17801351845264435,1.0,1.0,0.158451646566391,0.0
stable_plain,stable_plain,22,1-2,12,0.22000114619731903,1.0,1.0,0.28065648674964905,0.0
stable_plain,stable_plain,22,1-2,16,0.3120928406715393,1.0,1.0,0.3458458185195923,0.0
stable_plain,stable_plain,22,1-2,24,0.39753520488739014,1.0,1.0,0.4246731996536255,0.0
stable_plain,stable_plain,22,1-2,32,0.4388708472251892,1.0,1.0,0.475354939699173,0.0
stable_plain,stable_plain,22,1-2,48,0.4923863112926483,1.0,1.0,0.5424737930297852,0.0
stable_plain,stable_plain,22,1-2,64,0.536286473274231,1.0,1.0,0.5880987644195557,0.0
stable_plain,stable_plain,22,1-2,96,0.6095842719078064,1.0,1.0,0.6505963206291199,0.0
stable_plain,stable_plain,22,1-2,128,0.6648861765861511,1.0,1.0,0.6940560936927795,0.0
stable_plain,stable_plain,22,1-2,192,0.7310810089111328,1.0,1.0,0.7544770836830139,0.0
stable_plain,stable_plain,22,1-2,256,0.7681239247322083,1.0,1.0,0.7969300150871277,0.0
stable_plain,stable_plain,22,1-2,384,0.8187320828437805,1.0,1.0,0.8563643097877502,0.0
stable_plain,stable_plain,22,1-2,512,0.8582629561424255,1.0,1.0,0.8983312845230103,0.0
stable_plain,stable_plain,22,1-2,768,0.9128071665763855,1.0,1.0,0.9572844505310059,0.0
stable_plain,stable_plain,22,1-2,1024,0.9442062973976135,1.0,1.0,0.9990125894546509,0.0
stable_plain,stable_plain,27,3-10,0,-2.479871988296509,0.12727272510528564,0.0,0.0,0.8727272748947144
stable_plain,stable_plain,27,3-10,1,-1.6698821783065796,0.5272727012634277,0.1666666716337204,0.0,0.47272729873657227
stable_plain,stable_plain,27,3-10,2,-1.2246583700180054,0.6727272868156433,0.3333333432674408,0.0,0.3272727131843567
stable_plain,stable_plain,27,3-10,4,-1.3058030605316162,0.7636363506317139,0.6666666865348816,0.0,0.23636364936828613
stable_plain,stable_plain,27,3-10,8,0.05734185129404068,1.0,1.0,0.19994372129440308,0.0
stable_plain,stable_plain,27,3-10,12,0.2008056640625,1.0,1.0,0.2999155819416046,0.0
stable_plain,stable_plain,27,3-10,16,0.2998882234096527,1.0,1.0,0.35839536786079407,0.0
stable_plain,stable_plain,27,3-10,24,0.3889906406402588,1.0,1.0,0.43207117915153503,0.0
stable_plain,stable_plain,27,3-10,32,0.43927714228630066,1.0,1.0,0.4806002080440521,0.0
stable_plain,stable_plain,27,3-10,48,0.5058863162994385,1.0,1.0,0.5457895398139954,0.0
stable_plain,stable_plain,27,3-10,64,0.5561519265174866,1.0,1.0,0.590522825717926,0.0
stable_plain,stable_plain,27,3-10,96,0.6330898404121399,1.0,1.0,0.6521726250648499,0.0
stable_plain,stable_plain,27,3-10,128,0.6886124014854431,1.0,1.0,0.6952239274978638,0.0
stable_plain,stable_plain,27,3-10,192,0.7603543996810913,1.0,1.0,0.7552462816238403,0.0
stable_plain,stable_plain,27,3-10,256,0.8057348728179932,1.0,1.0,0.7975034713745117,0.0
stable_plain,stable_plain,27,3-10,384,0.8678726553916931,1.0,1.0,0.8567444086074829,0.0
stable_plain,stable_plain,27,3-10,512,0.9119352102279663,1.0,1.0,0.8986155390739441,0.0
stable_plain,stable_plain,27,3-10,768,0.9639388918876648,1.0,1.0,0.9574733972549438,0.0
stable_plain,stable_plain,27,3-10,1024,0.9882425665855408,1.0,1.0,0.9991540908813477,0.0
stable_plain,stable_plain,29,3-10,0,-2.479872465133667,0.09259258955717087,0.0,0.0,0.9074074029922485
stable_plain,stable_plain,29,3-10,1,-1.5528010129928589,0.48148149251937866,0.1666666716337204,0.0,0.5185185074806213
stable_plain,stable_plain,29,3-10,2,-0.9079570770263672,0.5925925970077515,0.3333333432674408,0.0,0.40740740299224854
stable_plain,stable_plain,29,3-10,4,-0.6635845303535461,0.8888888955116272,0.6666666865348816,0.0,0.1111111044883728
stable_plain,stable_plain,29,3-10,8,0.3018973469734192,1.0,1.0,0.19994372129440308,0.0
stable_plain,stable_plain,29,3-10,12,0.11923413723707199,1.0,1.0,0.2999155819416046,0.0
stable_plain,stable_plain,29,3-10,16,0.18592621386051178,1.0,1.0,0.35839536786079407,0.0
stable_plain,stable_plain,29,3-10,24,0.2960644066333771,1.0,1.0,0.43207117915153503,0.0
stable_plain,stable_plain,29,3-10,32,0.35769835114479065,1.0,1.0,0.4806002080440521,0.0
stable_plain,stable_plain,29,3-10,48,0.43433284759521484,1.0,1.0,0.5457895398139954,0.0
stable_plain,stable_plain,29,3-10,64,0.48715949058532715,1.0,1.0,0.590522825717926,0.0
stable_plain,stable_plain,29,3-10,96,0.5645454525947571,1.0,1.0,0.6521726250648499,0.0
stable_plain,stable_plain,29,3-10,128,0.61790931224823,1.0,1.0,0.6952239274978638,0.0
stable_plain,stable_plain,29,3-10,192,0.6827759146690369,1.0,1.0,0.7552462816238403,0.0
stable_plain,stable_plain,29,3-10,256,0.7220650911331177,1.0,1.0,0.7975034713745117,0.0
stable_plain,stable_plain,29,3-10,384,0.7768767476081848,1.0,1.0,0.8567444086074829,0.0
stable_plain,stable_plain,29,3-10,512,0.815168559551239,1.0,1.0,0.8986155390739441,0.0
stable_plain,stable_plain,29,3-10,768,0.8577932119369507,1.0,1.0,0.9574733972549438,0.0
stable_plain,stable_plain,29,3-10,1024,0.8771591782569885,1.0,1.0,0.9991540908813477,0.0
stable_plain,stable_plain,30,3-10,0,-2.479872465133667,0.125,0.0,0.0,0.875
stable_plain,stable_plain,30,3-10,1,-1.7905997037887573,0.3928571343421936,0.1428571492433548,0.0,0.6071428656578064
stable_plain,stable_plain,30,3-10,2,-1.5997636318206787,0.6428571343421936,0.2857142984867096,0.0,0.3571428656578064
stable_plain,stable_plain,30,3-10,4,-1.4528944492340088,0.7142857313156128,0.5714285969734192,0.0,0.2857142686843872
stable_plain,stable_plain,30,3-10,8,0.11586311459541321,1.0,1.0,0.158451646566391,0.0
stable_plain,stable_plain,30,3-10,12,0.12551668286323547,1.0,1.0,0.28065648674964905,0.0
stable_plain,stable_plain,30,3-10,16,0.21255293488502502,1.0,1.0,0.3458458185195923,0.0
stable_plain,stable_plain,30,3-10,24,0.2916560173034668,1.0,1.0,0.4246731996536255,0.0
stable_plain,stable_plain,30,3-10,32,0.33698010444641113,1.0,1.0,0.475354939699173,0.0
stable_plain,stable_plain,30,3-10,48,0.40913712978363037,1.0,1.0,0.5424737930297852,0.0
stable_plain,stable_plain,30,3-10,64,0.46636778116226196,1.0,1.0,0.5880987644195557,0.0
stable_plain,stable_plain,30,3-10,96,0.5486426949501038,1.0,1.0,0.6505963206291199,0.0
stable_plain,stable_plain,30,3-10,128,0.6058329939842224,1.0,1.0,0.6940560936927795,0.0
stable_plain,stable_plain,30,3-10,192,0.6763151288032532,1.0,1.0,0.7544770836830139,0.0
stable_plain,stable_plain,30,3-10,256,0.7200213670730591,1.0,1.0,0.7969300150871277,0.0
stable_plain,stable_plain,30,3-10,384,0.7795212864875793,1.0,1.0,0.8563643097877502,0.0
stable_plain,stable_plain,30,3-10,512,0.8223553895950317,1.0,1.0,0.8983312845230103,0.0
stable_plain,stable_plain,30,3-10,768,0.878835141658783,1.0,1.0,0.9572844505310059,0.0
stable_plain,stable_plain,30,3-10,1024,0.9112651348114014,1.0,1.0,0.9990125894546509,0.0
