model,snapshot,target,probe_type,selected_alpha,validation_score,final_score,final_secondary_score,label_shuffle_mean,label_shuffle_max,random_subspace_rank,random_subspace_mean,random_subspace_max
collapsed_plain,16,row_candidate_count,numeric,100.0,-0.019550359556252506,0.4715017952009114,0.37243117078547705,-0.05265148339812941,0.019323486772199527,1,-0.037179961683861826,-0.013651447310890186
collapsed_plain,16,column_candidate_count,numeric,1.0,0.31493130126674573,0.435384955830428,0.29567781217323763,-0.11182440825486945,-0.00588092778759175,1,-0.015850924114329208,0.13348637871037217
collapsed_plain,16,box_candidate_count,numeric,1.0,0.35726803646086747,0.538769915184689,0.39672382523389915,-0.1012153247061375,0.052343440958986576,1,-0.0478311766801844,-0.020902472927109228
collapsed_plain,16,joint_candidate_count,numeric,10000.0,-0.002440515185534675,0.13111317941009504,0.04546051791952388,-0.01767067925158887,0.012628151460612025,1,-0.006629985364426015,0.018505109502067074
collapsed_plain,16,static_joint_candidate_count,numeric,100.0,0.2659127752826975,0.31542171460789326,0.15712528808807602,-0.03421804513361947,0.004623300967117827,1,-0.00415452281452975,0.0079740120689209
collapsed_plain,16,hard_row_conflicts,categorical,0.01,0.6005203585536311,0.4003013115916341,0.8838652482269503,0.33366935483870963,0.33602150537634407,1,0.3333333333333333,0.3333333333333333
collapsed_plain,16,hard_column_conflicts,categorical,0.01,0.5315971768396288,0.3962686567164179,0.8891843971631206,0.3332089552238806,0.3333333333333333,1,0.3333333333333333,0.3333333333333333
collapsed_plain,16,hard_box_conflicts,categorical,1.0,0.7742778721735721,0.4668340295259435,0.8803191489361702,0.3332053906516547,0.3333333333333333,1,0.3333333333333333,0.3333333333333333
collapsed_plain,16,hard_unique_conflicts,categorical,0.01,0.4186079965583071,0.2995701280194091,0.8280141843971631,0.19991785323110625,0.2,3,0.2,0.2
collapsed_plain,16,row_candidate_count,categorical,0.01,0.5511146286769556,0.35950671012727753,0.8342198581560284,0.2507381177316904,0.2553191489361702,3,0.2503934513575471,0.2549654344867111
collapsed_plain,16,column_candidate_count,categorical,0.01,0.537002487562189,0.3775086272302308,0.8324468085106383,0.25085392753126606,0.25796336180523266,2,0.2500684518710688,0.25109522993710076
collapsed_plain,16,box_candidate_count,categorical,100.0,0.6513781664427288,0.4604285714285714,0.8466312056737588,0.25,0.25,2,0.25,0.25
collapsed_plain,16,joint_candidate_count,categorical,0.01,0.47255022550225506,0.4669184117175878,0.8599290780141844,0.33320873224752384,0.3344293143125961,2,0.3333333333333333,0.3333333333333333
collapsed_plain,16,static_joint_candidate_count,categorical,0.01,0.20946663553059033,0.21949338945740385,0.42819148936170215,0.14488117072714118,0.15956101937591693,6,0.14546953067512491,0.15924404467904715
collapsed_plain,16,target_candidate_legal,categorical,0.01,0.9360566228513649,0.8768197088465846,0.9042553191489362,0.5011548152295633,0.5052631578947369,1,0.5,0.5
collapsed_plain,128,expected_row_conflicts,numeric,0.01,-0.04930522201552501,-0.10270057431687363,-9.352518759442319e-13,-0.10270057432388491,-0.10270057431861979,1,-0.10270057432348419,-0.102700574323068
collapsed_plain,128,expected_column_conflicts,numeric,0.01,-0.049958680011708,-0.10117300535064211,-1.6211476605576536e-12,-0.10117300536035762,-0.1011730053578479,1,-0.10117300535952545,-0.10117300535859419
collapsed_plain,128,expected_box_conflicts,numeric,0.01,-0.0495020606947445,-0.10077576868110127,-7.975842208907125e-13,-0.10077576868765832,-0.10077576868533078,1,-0.10077576868772696,-0.100775768687283
collapsed_plain,128,expected_unique_conflicts,numeric,0.01,-0.050206026810396986,-0.10324746793038808,-6.892264536872972e-13,-0.1032474679385734,-0.10324746793538164,1,-0.10324746793735953,-0.10324746793703121
collapsed_plain,128,hard_row_conflicts,numeric,0.01,-0.028222676920905743,-0.04536315657200318,0.0,-0.04536315657200318,-0.04536315657200318,1,-0.04536315657200318,-0.04536315657200318
collapsed_plain,128,hard_column_conflicts,numeric,0.01,-0.02468007312614251,-0.04771573604060908,0.0,-0.04771573604060908,-0.04771573604060908,1,-0.04771573604060908,-0.04771573604060908
