model,split,snapshot,expected_row_conflicts,expected_column_conflicts,expected_box_conflicts,expected_unique_conflicts,hard_unique_conflicts,joint_candidate_deviation,target_candidate_legal_fraction,prediction_accuracy,valid_board_fraction,solved_board_fraction
stable_plain,validation,1,0.6726551055908203,0.673723042011261,0.6811407208442688,1.6431785821914673,1.4861730337142944,0.5486173059768065,0.280107047279215,0.48438893844781444,0.0,0.0
stable_plain,validation,2,0.5234290361404419,0.5281720161437988,0.5259956121444702,1.2652466297149658,0.8581623435020447,0.47546833184656556,0.42105263157894735,0.6306868867082962,0.0,0.0
stable_plain,validation,4,0.3407462239265442,0.3415636718273163,0.3428986072540283,0.8164862990379333,0.43532559275627136,0.2622658340767172,0.6619090098126673,0.7591436217662801,0.2,0.2
stable_plain,validation,8,0.1852998286485672,0.18387332558631897,0.18407800793647766,0.4472237527370453,0.1516503095626831,0.09188224799286351,0.8099910793933988,0.8510258697591436,0.55,0.55
stable_plain,validation,16,0.09400685876607895,0.09335023164749146,0.09346771985292435,0.23064276576042175,0.14986619353294373,0.08296164139161463,0.8965209634255129,0.9330954504906334,0.85,0.85
stable_plain,validation,32,0.031095556914806366,0.0313226580619812,0.031152185052633286,0.07754740864038467,0.05530776083469391,0.02230151650312221,0.9643175735950045,0.9705619982158786,0.95,0.95
stable_plain,validation,64,0.03273880109190941,0.03271325305104256,0.03270367532968521,0.08148552477359772,0.06244424730539322,0.03300624442462088,0.9580731489741302,0.9723461195361285,0.95,0.95
stable_plain,validation,128,6.18349419818417e-29,8.390884359469018e-29,6.129201631198786e-29,1.5205121818146223e-28,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,validation,256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,validation,512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,validation,1024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,final,0,0.915521502494812,0.915265679359436,0.914667010307312,2.2882468700408936,14.42641830444336,2.515957446808511,0.8882978723404256,0.11170212765957446,0.0,0.0
stable_plain,final,1,0.6808376312255859,0.6860361099243164,0.6857606172561646,1.6657989025115967,1.5496454238891602,0.5629432624113475,0.26861702127659576,0.4849290780141844,0.0,0.0
stable_plain,final,2,0.5424063205718994,0.546233057975769,0.5469275116920471,1.3177001476287842,0.9007092118263245,0.47074468085106386,0.4015957446808511,0.6143617021276596,0.0,0.0
stable_plain,final,4,0.3631233274936676,0.3671936094760895,0.36765971779823303,0.8770197033882141,0.40780141949653625,0.25620567375886527,0.6054964539007093,0.7101063829787234,0.1,0.1
stable_plain,final,8,0.2177717238664627,0.2186422348022461,0.21933861076831818,0.536296010017395,0.24113474786281586,0.12677304964539007,0.7641843971631206,0.8067375886524822,0.6,0.6
stable_plain,final,16,0.1495959758758545,0.15022355318069458,0.15014560520648956,0.37049779295921326,0.19680851697921753,0.10549645390070922,0.848404255319149,0.8945035460992907,0.75,0.75
stable_plain,final,32,0.0681953877210617,0.06801024824380875,0.0684124156832695,0.16742490231990814,0.12056737393140793,0.05230496453900709,0.9299645390070922,0.9574468085106383,0.9,0.9
stable_plain,final,64,3.291558730180674e-23,3.446249620529083e-23,3.7090384362642895e-23,6.958269414625701e-23,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,final,128,1.401298464324817e-45,0.0,1.401298464324817e-45,1.401298464324817e-45,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,final,256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,final,512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,final,1024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
collapsed_plain,discovery,0,0.9250969290733337,0.9248558878898621,0.9243380427360535,2.3130545616149902,14.269126892089844,2.4824482448244822,0.891989198919892,0.10801080108010801,0.0,0.0
collapsed_plain,discovery,1,0.6331126689910889,0.6162199378013611,0.6223242282867432,1.5101593732833862,1.2763276100158691,0.5454545454545454,0.32223222322232226,0.5373537353735374,0.0,0.0
collapsed_plain,discovery,2,0.4907377064228058,0.4790712594985962,0.48016616702079773,1.162147879600525,0.7632763385772705,0.43114311431143115,0.44374437443744374,0.6273627362736274,0.0,0.0
collapsed_plain,discovery,4,0.3185317814350128,0.31088313460350037,0.31464606523513794,0.7510969042778015,0.38883888721466064,0.24662466246624662,0.6687668766876688,0.7767776777677767,0.1,0.1
collapsed_plain,discovery,8,0.09890132397413254,0.09614748507738113,0.09772050380706787,0.23589958250522614,0.09360936284065247,0.05670567056705671,0.8676867686768677,0.8883888388838884,0.75,0.75
collapsed_plain,discovery,16,0.11220064014196396,0.1115359514951706,0.11176891624927521,0.27347519993782043,0.14581458270549774,0.0891089108910891,0.8667866786678667,0.8991899189918992,0.8,0.8
collapsed_plain,discovery,32,0.08388396352529526,0.08326064795255661,0.08371002972126007,0.20521286129951477,0.13141314685344696,0.06930693069306931,0.9108910891089109,0.9360936093609361,0.85,0.85
collapsed_plain,discovery,64,0.06608210504055023,0.06529317051172256,0.06557918339967728,0.163213312625885,0.13141314685344696,0.05490549054905491,0.9261926192619262,0.9441944194419442,0.9,0.9
collapsed_plain,discovery,128,1.276118831916237e-13,1.8257427904580514e-13,1.332403019296477e-13,3.406865176254492e-13,0.0,0.0,1.0,1.0,1.0,1.0
collapsed_plain,discovery,256,1.7046872358150722e-08,2.9439098270245267e-08,1.6654180257091866e-08,4.9149821990113196e-08,0.0,0.0,1.0,1.0,1.0,1.0
collapsed_plain,discovery,512,0.003456413745880127,0.0031275383662432432,0.003482059808447957,0.009374200366437435,0.0,0.0,1.0,1.0,1.0,1.0
collapsed_plain,discovery,1024,0.2045690268278122,0.2072795033454895,0.2102847546339035,0.5294533371925354,0.5121512413024902,0.19081908190819083,0.8397839783978398,0.8523852385238524,0.05,0.05
collapsed_plain,validation,0,0.9224305748939514,0.9228866100311279,0.9227496385574341,2.307624578475952,14.256021499633789,2.4299732381801964,0.8858162355040142,0.11418376449598573,0.0,0.0
collapsed_plain,validation,1,0.6491985321044922,0.6355858445167542,0.6414856910705566,1.557091474533081,1.2845673561096191,0.5486173059768065,0.3157894736842105,0.5209634255129348,0.0,0.0
collapsed_plain,validation,2,0.5279518961906433,0.5130682587623596,0.5161945819854736,1.2546693086624146,0.8367528915405273,0.47992863514719003,0.42462087421944694,0.6181980374665478,0.0,0.0
collapsed_plain,validation,4,0.3339970111846924,0.3291577398777008,0.3309469223022461,0.7935084104537964,0.3978590667247772,0.22925958965209633,0.6940231935771632,0.7930419268510259,0.1,0.1
